Make,MSG SKU,OEM,Part number,Car,Cables and fittings,Protocol
"TOYOTA, LEXUS",EVAC0002,"88370-28020
88370-30020
88370-30021
88370-30050
88370-48021
88370-48022
88370-48040","042200-0062
042200-0110
042200-0111
042200-0120
042000-0231
042000-0241
042000-0242
042000-0251
042000-0252
042000-0300
042000-0301
DCP51005","ESTIMA HYBRID AHR20 ([2006, 2007, 2008]) Japan
 LEXUS RX400h ([2003, 2004, 2005, 2006, 2007, 2008])
 LEXUS GS450h (2007 - 2008)
 TOYOTA Camry HV (2007 - 2011)
 TOYOTA Highlander HV (2008 - 2011)","MS-31001 (1H)
MS-30001 (1D)
MS41001-HP
MS41006-LP
  
Tools:
MS40006",proprietary toyota
"TOYOTA, LEXUS",EVAC0005,"88370-47030
88370-47031
88370-47032
88370-47033
88370-47060
88370-47061
88370-47062
88370-52010
88370-52011
88370-52012","042200-0212
042200-0420
042200-0421
042200-0422
042200-0423
042200-0410
042200-0411
042200-0412
042200-0413
042200-0512
042200-1360
042200-1090 
32869 (NRF)","Toyota Prius 3 ZVW30
 Toyota Prius 2010, 2011, 2012, 2013, 2014, 2015
 Toyota yaris 3 2014, 2015, 2016, 2017","MS-31001 (1H)
MS-30001 (1D)
MS41001-HP
MS41006-LP
 
Tools:
MS40006",proprietary toyota
"TOYOTA, LEXUS",EVAC0006,"88370-47080
88370-47081
88370-47082","042200-0650
 042200-0651
 042200-0652
 042200-1060
 042200-1061
 042200-1340","Toyota USA Prius 2012, 2013, 2014, 2015","MS-31001 (1H)
MS-30001 (1D)
MS41001-HP
MS41006-LP
 
Tools:
MS40006",proprietary toyota
"TOYOTA, LEXUS",EVAC0007,"88370-47040
88370-47050","042200-0281
 042200-0391
 042200-0392
 042200-0393
 042200-0400
 042200-0402
 042200-0403
 042200-0404
 042200-0941
 DCP51011","Lexus CT200h [2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018] 
 Toyota Prius ZVW40 2012, 2013, 2014","MS-31001 (1H)
MS-30001 (1D)
MS41001-HP
MS41006-LP
  
Tools:
MS40006",proprietary toyota
"TOYOTA, LEXUS",EVAC0008,"88370-58010
 88370-58020
 88370-33020
 88370-33030
 88370-33031
 88370-48070
 88370-48110","042200-0221
 042200-0460
 042200-0462
 042200-0463
 042200-0530
 042200-0531
 042200-0532
 042200-0533
 042200-0610
 042200-0611
 042200-0612
 042200-0613
 042200-0840
 042200-0841
 042200-1190
 042200-1200
 042200-1501","Lexus RX450 Hybrid (GYL20_, GYL25_) 2015, 2016, 2017, 2018
 Lexus IS300 2015, 2016, 2017, 2018
 Lexus ES300 Hybrid 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025
 Toyota RAV4","MS-31001 (1H)
MS-30001 (1D)
MS41001-HP
MS41006-LP
  
Tools:
MS40006",proprietary toyota
"TOYOTA, LEXUS",EVAC0009,"88370-76010
 88370-76020","042200-0620
 042200-0621
 042200-0622","Lexus USA-CT 200h (2011, 2012, 2013, 2014, 2015, 2016, 2017) -1.8 L4 Hybrid
 Model PRIUS V USA ZVW41 ENGINE 2ZRFXE","MS-31001 (1H)
MS-30001 (1D)
MS41001-HP
MS41006-LP
 
 
Tools:
MS40006",proprietary toyota
"TOYOTA, LEXUS",EVAC0077,88390-42010,042200-0642,"TOYOTA RAV4 [2012, 2013, 2014]","MS-31001 (1H)
MS-30001 (1D)
MS41001-HP
MS41006-LP
 
 
Tools:
MS40006",proprietary toyota
"TOYOTA, LEXUS",EVAC0016,"88370-47090
 88370-47091
 88370-47092
 88370-47120
 88370-47121
 88370-47122","042400-0021
 042400-0240
 042400-0360
 042400-0361
 042400-0370
 042400-0371
 042400-1190
 042400-1201","PRIUS(202016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025) ZVW50, ZVW52L
 
  
 
 
 
 
 Toyota Corolla 1.8 Hybrid X2ZR-E22U","MS-31001 (1H)
MS-30011 (11D)
MS41001-HP
MS41006-LP
  
Tools:
MS40006",LIN
"TOYOTA, LEXUS",EVAC0073,88370-12070,"042400-1191
 042400-0500
 042400-0501","Toyota Corolla 2.0 [2017, 2018, 2019, 2020, 2021]","MS-31001 (1H)
 MS-30011 (11D)
 MS41001-HP
 MS41006-LP
  
 Tools:
 MS40006",LIN
"TOYOTA, LEXUS",EVAC0017,"88370-33040
88370-33041
88370-33050
88370-33051","042400-1100
 042400-1101
 042400-0171","Camry v70 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025 hybrid
 RAV4 2020, 2021, 2022, 2023, 2024, 2025","MS-31001 (1H)
 MS-30011 (11D)
 MS41001-HP
 MS41006-LP
  
 Tools:
 MS40006",LIN
