Unit name,Protocol,Comment,TOP Rating,Read ID,Read DTC,Live data,Parametrization,Programm.,Special func.,Cable,Univ. FR program,Univ. FR adapt.,Univ. cab,OEM,Group of vehicles,Vehicles,Photo,Connection diagram
AU404.NL00.,CAN,Done,TOP10,Yes,Yes,Yes,,Yes(11 flies),,MS-36026 (60R),,,Yes,8K1423055AA 8K1423055AC 8K1423055AF 8K1423055AJ 8K1423055AN 8K1423055AS 8K1423055BF 8K1423055BK 8K1423055BQ 8K1423055BR 8K1423055BS 8K1423055CA 8K1423055EK 8K1423055G 8K1423055N 8K1423055S 8K1423055X ,VAG GROUP,"AUDI A5 (8T3) [2011, 2012, 2013, 2014, 2015, 2016, 2017], AUDI A5 Sportback (8TA) [2011, 2012, 2013, 2014, 2015, 2016, 2017], AUDI A4 (8K2, B8) [2011, 2012, 2013, 2014, 2015], AUDI A4 Avant (8K5, B8) [2011, 2012, 2013, 2014, 2015]",AU404.NL00.jpg,AU404conn.jpg
AU404.NR00.,CAN,Done,TOP10,Yes,Yes,Yes,,Yes(11 flies),,MS-36026 (60R),,,Yes,8K2423055AA 8K2423055BR ,VAG GROUP,"AUDI A5 (8T3) [2011, 2012, 2013, 2014, 2015, 2016, 2017], AUDI A5 Sportback (8TA) [2011, 2012, 2013, 2014, 2015, 2016, 2017], AUDI A4 (8K2, B8) [2011, 2012, 2013, 2014, 2015], AUDI A4 Avant (8K5, B8) [2011, 2012, 2013, 2014, 2015]",AU404.NR00.jpg,AU404conn.jpg
AU404.SL00.,CAN,Done,TOP10,Yes,Yes,Yes,,Yes(11 flies),,MS-36026 (60R),,,Yes,8K1423055AE 8K1423055AL 8K1423055AQ 8K1423055BA 8K1423055BM 8K1423055BT 8K1423055CC 8K1423055T ,VAG GROUP,"AUDI A4 (8K2, B8) [2011, 2012, 2013, 2014, 2015], AUDI A5 кабрио (8F7) [2011, 2012, 2013, 2014, 2015]",AU404.SL00.jpg,AU404conn.jpg
AU405.NL00.,CAN,Done,TOP25,Yes,Yes,Yes,,Yes(11 flies),,MS-36026 (60R),,,Yes,8R1423055AC 8R1423055AF 8R1423055AJ 8R1423055AN 8R1423055AS 8R1423055BE 8R1423055BG 8R1423055E 8R1423055J 8R1423055L 8R1423055R 8R1423055T 8R1423055AC 8R1423055AF 8R1423055AJ 8R1423055AS 8R1423055BE 8R1423055BG 8R1423055R 8R1423055T,VAG GROUP,"AUDI Q5 (8R) [2012, 2013, 2014, 2015]",AU405.NL00.jpg,AU404conn.jpg
AU405.SL00.,CAN,Done,TOP25,Yes,Yes,Yes,,Yes(11 flies),,MS-36026 (60R),,,Yes,8R1423055AA 8R1423055AE 8R1423055AH 8R1423055AL 8R1423055AT 8R1423055BF 8R1423055BH 8R1423055N ,VAG GROUP,"AUDI Q5 (8R) [2012, 2013, 2014, 2015]",AU405.SL00.jpg,AU404conn.jpg
AU405.SR00.,CAN,Done,TOP25,Yes,Yes,Yes,,Yes(11 flies),,MS-36026 (60R),,,Yes,8R2423055AH,VAG GROUP,"AUDI Q5 (8R) [2011, 2012, 2013, 2014, 2015, 2016]",AU405.SR00.jpg,AU404conn.jpg
PH402.NL00.,CAN,Done,TOP100,Yes,Yes,Yes,,Yes(2 files),,MS-36026 (60R),,,Yes,95B423055AC 95B423055K 95B423055M 95B423055AF 95B423055AG 95B423055AH 95B423055AJ 95B423055M,VAG GROUP,"PORSCHE MACAN (95B) [2014, 2015, 2016, 2017, 2018]",PH402.NL00.jpg,AU404conn.jpg
PH402.NR00.,CAN,Done,TOP100,Yes,Yes,Yes,,Yes(2 files),,MS-36026 (60R),,,Yes,95B423055AG 95B423055P,VAG GROUP,PORSCHE MACAN (95B) 2014-2019,PH402.NR00.jpg,AU404conn.jpg
VW409.NL00.,CAN,Done,TOP50,Yes,Yes,Yes,,Yes(31 files),,MS-36007 (24R),,,Yes,1K1423051AH 1K1423051AN 1K1423051AP,VAG GROUP,"AUDI A3 (8P1) [2003, 2004, 2005, 2006, 2007, 2008], VW TOURAN (1T1, 1T2) [2003, 2004], VW GOLF V (1K1) [2003, 2004, 2005, 2006], SEAT ALTEA (5P1) [2004, 2005, 2006, 2007, 2008, 2009, 2010], SKODA OCTAVIA II (1Z3) [2004, 2005, 2006, 2007, 2008, 2009, 2010], AUDI A3 Sportback (8PA) [2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013], SKODA OCTAVIA II Combi (1Z5) [2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013], SEAT TOLEDO III (5P2) [2004, 2005, 2006, 2007, 2008, 2009], VW GOLF PLUS (5M1, 521) [2005, 2006], VW PASSAT (3C2) [2005, 2006, 2007, 2008], VW JETTA III (1K2) [2005, 2006, 2007, 2008, 2009, 2010], VW PASSAT Variant (3C5) [2005, 2006, 2007, 2008], SEAT LEON (1P1) [2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012], VW EOS (1F7, 1F8) [2006, 2007, 2008], SEAT ALTEA XL (5P5, 5P8) [2006, 2007, 2008, 2009, 2010], VW GOLF V Variant (1K5) [2007, 2008, 2009], AUDI A3 кабрио (8P7) [2008, 2009, 2010, 2011, 2012, 2013]",VW409.NL00.jpg,VW412conn.jpg
VW409.NR00.,CAN,Done,TOP50,Yes,Yes,Yes,,Yes(31 files),,MS-36007 (24R),,,Yes,1K2423055E 1K2423055J 1K2423055JX,VAG GROUP,"SEAT LEON (1P1) [2010, 2011, 2012], AUDI A3 (8P1) [2009, 2010, 2011, 2012], SKODA OCTAVIA II (1Z3) [2008, 2009, 2010, 2011, 2012, 2013], VW CADDY III универсал (2KB, 2KJ, 2CB, 2CJ) [2010, 2011, 2012, 2013, 2014, 2015]",VW409.NL00.jpg,VW412conn.jpg
