as_index,napiecie,natezenie,od1,plug,regulator
A0001,24,55,,PL_9105,ARE0027
A0001,24,55,,PL_9105,ARE0005
A0001,24,55,,PL_9105,ARE0005(BOSCH)
A0001,24,55,,PL_9105,ARE0005(OEM)
A0001,24,55,,PL_9105,ARE0005S
A0001,24,55,,PL_9105,ARE0005S2
A0001,24,55,,PL_9105,ARE0005(SEG)
A0001,24,55,,PL_9105,ARE0241S
A0002,24,80,,PL_9105,ARE0005
A0002,24,80,,PL_9105,ARE0005(BOSCH)
A0002,24,80,,PL_9105,ARE0005(OEM)
A0002,24,80,,PL_9105,ARE0005S
A0002,24,80,,PL_9105,ARE0005S2
A0002,24,80,,PL_9105,ARE0005(SEG)
A0002,24,80,,PL_9105,ARE0241S
A0003,12,120,44,PL_9105,ARE0007
A0003,12,120,44,PL_9105,ARE0010
A0003,12,120,44,PL_9105,ARE0007S
A0003,12,120,44,PL_9105,ARE0010S
A0003,12,120,44,PL_9105,ARE0007S2
A0003,12,120,44,PL_9105,ARE0007(OEM)
A0003,12,120,44,PL_9105,ARE0007S3
A0004,12,33,46,PL_9104,
A0005,12,90,48,PL_9105,ARE0007
A0005,12,90,48,PL_9105,ARE0007S
A0005,12,90,48,PL_9105,ARE0007S2
A0005,12,90,48,PL_9105,ARE0007(OEM)
A0005,12,90,48,PL_9105,ARE0007S3
A0006,12,90,50,PL_2100,ARE0006
A0006,12,90,50,PL_2100,ARE0006(OEM)
A0006,12,90,50,PL_2100,ARE0006S2
A0006,12,90,50,PL_2100,ARE0006(BOSCH)
A0006,12,90,50,PL_2100,ARE0006S
A0006SR,12,90,50,PL_2100,
A0007,24,80,76.5,PL_9105,ARE0005
A0007,24,80,76.5,PL_9105,ARE0005(BOSCH)
A0007,24,80,76.5,PL_9105,ARE0005(OEM)
A0007,24,80,76.5,PL_9105,ARE0005S
A0007,24,80,76.5,PL_9105,ARE0005S2
A0007,24,80,76.5,PL_9105,ARE0005(SEG)
A0007,24,80,76.5,PL_9105,ARE0241S
A0008,24,80,,PL_9105,ARE0022
A0008,24,80,,PL_9105,ARE0022(BOSCH)
A0008SR,24,80,,PL_9105,
A0009,24,55,,PL_9104,ARE0022
A0009,24,55,,PL_9104,ARE0022(BOSCH)
A0009,24,55,,PL_9104,ARE0005S
A0010,24,80,,PL_9105,ARE0022
A0010,24,80,,PL_9105,ARE0022(BOSCH)
A0011,24,100,77,PL_9105,ARE0005
A0011,24,100,77,PL_9105,ARE0005(BOSCH)
A0011,24,100,77,PL_9105,ARE0005(OEM)
A0011,24,100,77,PL_9105,ARE0005S
A0011,24,100,77,PL_9105,ARE0005S2
A0011,24,100,77,PL_9105,ARE0005(SEG)
A0011,24,100,77,PL_9105,ARE0241S
A0012,12,33,59,PL_3201,ARE0001
A0012,12,33,59,PL_3201,ARE0001S
A0012,12,33,59,PL_3201,ARE0019
A0012,12,33,59,PL_3201,ARE0019(OEM)
A0012,12,33,59,PL_3201,ARE0019S
A0012,12,33,59,PL_3201,ARE0001(BOSCH)
A0012,12,33,59,PL_3201,ARE0001S2
A0013,12,33,55,PL_9105,ARE0001
A0013,12,33,55,PL_9105,ARE0001S
A0013,12,33,55,PL_9105,ARE0019
A0013,12,33,55,PL_9105,ARE0019(OEM)
A0013,12,33,55,PL_9105,ARE0019S
A0013,12,33,55,PL_9105,ARE0001(BOSCH)
A0013,12,33,55,PL_9105,ARE0001S2
A0014,12,55,,PL_9105,ARE0021
A0014,12,55,,PL_9105,ARE0001
A0014,12,55,,PL_9105,ARE0001S
A0014,12,55,,PL_9105,ARE0019
A0014,12,55,,PL_9105,ARE0019(OEM)
A0014,12,55,,PL_9105,ARE0019S
A0014,12,55,,PL_9105,ARE0001(BOSCH)
A0014,12,55,,PL_9105,ARE0001S2
A0015,12,80,50,PL_9105,ARE0003
A0015,12,80,50,PL_9105,ARE0016
A0015,12,80,50,PL_9105,ARE0047
A0015,12,80,50,PL_9105,ARE0001
A0015,12,80,50,PL_9105,ARE0001S
A0015,12,80,50,PL_9105,ARE0019
A0015,12,80,50,PL_9105,ARE0019(OEM)
A0015,12,80,50,PL_9105,ARE0019S
A0015,12,80,50,PL_9105,ARE0001(BOSCH)
A0015,12,80,50,PL_9105,ARE0001S2
A0015,12,80,50,PL_9105,ARE0003S
A0016,24,35,69,PL_9105,ARE0005
A0016,24,35,69,PL_9105,ARE0005(BOSCH)
A0016,24,35,69,PL_9105,ARE0005(OEM)
A0016,24,35,69,PL_9105,ARE0005S
A0016,24,35,69,PL_9105,ARE0005S2
A0016,24,35,69,PL_9105,ARE0005(SEG)
A0016,24,35,69,PL_9105,ARE0241S
A0017,24,27,,PL_9105,ARE0027
A0017,24,27,,PL_9105,ARE0005
A0017,24,27,,PL_9105,ARE0005(BOSCH)
A0017,24,27,,PL_9105,ARE0005(OEM)
A0017,24,27,,PL_9105,ARE0005S
A0017,24,27,,PL_9105,ARE0005S2
A0017,24,27,,PL_9105,ARE0005(SEG)
A0017,24,27,,PL_9105,ARE0241S
A0018,12,65,,PL_9105,ARE0025
A0018,12,65,,PL_9105,ARE0025(BOSCH)
A0018,12,65,,PL_9105,ARE0025(SEG)
A0019,12,90,68,PL_2100,ARE0006
A0019,12,90,68,PL_2100,ARE0006(OEM)
A0019,12,90,68,PL_2100,ARE0006S2
A0019,12,90,68,PL_2100,ARE0006(BOSCH)
A0019,12,90,68,PL_2100,ARE0007S
A0019,12,90,68,PL_2100,ARE0006S
A0019PR,12,90,67,PL_2100,
A0020,12,55,,PL_9104,ARE0021
A0020,12,55,,PL_9104,ARE0047
A0020,12,55,,PL_9104,ARE0001
A0020,12,55,,PL_9104,ARE0001S
A0020,12,55,,PL_9104,ARE0019
A0020,12,55,,PL_9104,ARE0019(OEM)
A0020,12,55,,PL_9104,ARE0019S
A0020,12,55,,PL_9104,ARE0001(BOSCH)
A0020,12,55,,PL_9104,ARE0001S2
A0021,24,140,,PL_9105,ARE0032(BOSCH)
A0021,24,140,,PL_9105,ARE0032
A0022,24,140,,PL_9105,ARE0032(BOSCH)
A0022,24,140,,PL_9105,ARE0032
A0022(BOSCH),24,140,,PL_9105,
A0022P,24,140,,PL_9105,
A0022SR,24,140,,PL_9105,
A0023,24,55,54,PL_9105,ARE0022
A0023,24,55,54,PL_9105,ARE0022(BOSCH)
A0023PR,24,55,54,PL_9105,
A0024,24,120,,PL_9104,ARE0035
A0025,24,80,,PL_9105,ARE0022
A0025,24,80,,PL_9105,ARE0022(BOSCH)
A0025,24,80,,PL_9105,ARE0005
A0025,24,80,,PL_9105,ARE0005(BOSCH)
A0025,24,80,,PL_9105,ARE0005(OEM)
A0025,24,80,,PL_9105,ARE0005S
A0025,24,80,,PL_9105,ARE0005S2
A0025,24,80,,PL_9105,ARE0005(SEG)
A0025,24,80,,PL_9105,ARE0241S
A0026,24,55,,PL_9105,ARE0024
A0026,24,55,,PL_9105,ARE0024S
A0027,12,90,56,PL_2300,ARE0008
A0027,12,90,56,PL_2300,ARE0008(BOSCH)
A0027,12,90,56,PL_2300,ARE0008S2
A0027,12,90,56,PL_2300,ARE0008(BOSCH)P
A0027,12,90,56,PL_2300,ARE0008S
A0027PR,12,90,56,PL_2300,
A0028,12,65,45,PL_9104,ARE0002
A0028,12,65,45,PL_9104,ARE0002(OEM)
A0028,12,65,45,PL_9104,ARE0021
A0028,12,65,45,PL_9104,ARE0047
A0028,12,65,45,PL_9104,ARE0002S
A0029,24,65,,PL_9105,ARE0022
A0029,24,65,,PL_9105,ARE0022(BOSCH)
A0029,24,65,,PL_9105,ARE0005
A0029,24,65,,PL_9105,ARE0005(BOSCH)
A0029,24,65,,PL_9105,ARE0005(OEM)
A0029,24,65,,PL_9105,ARE0005S
A0029,24,65,,PL_9105,ARE0005S2
A0029,24,65,,PL_9105,ARE0005(SEG)
A0029,24,65,,PL_9105,ARE0241S
A0030,24,27,,PL_9104,ARE0027
A0030,24,27,,PL_9104,ARE0005
A0030,24,27,,PL_9104,ARE0005(BOSCH)
A0030,24,27,,PL_9104,ARE0005(OEM)
A0030,24,27,,PL_9104,ARE0005S
A0030,24,27,,PL_9104,ARE0005S2
A0030,24,27,,PL_9104,ARE0005(SEG)
A0030,24,27,,PL_9104,ARE0241S
