,Make,OEM Number,MSG Article,Model,Motor,Manufacturer,In stock in RND department,Testing with MS005A,Cable for MS005A,"Voltage, v","Current, A",Protocol
1,AUDI,"4N0903028N
4N1903028B
4N1903028X
4N0903028J
4N0903028P
4N0903028R
4N0903028G
4N0903028T
4N1903028
4N0903028E",SA48-001,"Audi A6 18-
Audi A7 18-
Audi A8 17-
Audi Q5 16-
Audi Q7 15-
Audi Q8 18-","3.0 TFSI
4.0 TFSI",,,Yes,,,,
2,AUDI,"4N1903028A 
4N0903028Q
4N0903028H
4N0903028M",SA48-002,"Audi A6 18-
Audi A7 18-
Audi A8 17-
Audi Q5 16-
Audi Q7 15-
Audi Q8 18-",3.0 TDI,,,Yes,,,,
3,AUDI,"06L903018H
IST60S061
2723447B",,"A4
A5
A6
A7
Q5",2.0 TSI,VALEO,,Yes,MS-33043,14.0,210.0,LIN2
4,AUDI,"04L903018
IST60S036
2627316A",,"A4
A5
A6
A7
Q5", 2.0 TDI,VALEO,,Yes,MS-33043,14.0,210.0,LIN2
5,"AUDI
SEAT
SKODA","06L903018F
IST60S031
2710880а",,"Audi A4 15-
Audi A5 16-
Audi A6 18-
Audi A7 18-",2.0 TSI,VALEO,,Yes,MS-33043,14.0,210.0,LIN2
6,"AUDI
SEAT
SKODA","06L903018G
IST80S058
2721457E",,"Audi A4 15-
Audi A5 16-
Audi A6 18-
Audi A7 18-
Audi Q5 16-","2.0 TSI
2.0 TDI",VALEO,1.0,Yes,MS-33043,14.0,230.0,LIN2
7,"AUDI
SEAT
SKODA","04L903018A
IST80S059
2724194D",,,,VALEO,,Yes,MS-33043,14.0,230.0,LIN2
8,AUDI,"4M0 903 018R
IST60C027",,Audi Q7 15-,3.0 TDI,VALEO,,No,,14.0,210.0,
9,"VW
SEAT",05C903018,,"Audi Q3 18-
Audi A3 20-
SEAT Leon 20-
VW Golf VIII 19-","1.5TSI
1.0TSI",VALEO,1.0,No,,48.0,250.0,
10,"VW
SEAT",05E903018G,,"Audi Q3 18-
Audi A3 20-
SEAT Leon 20-
VW Golf VIII 19-","1.5TSI
1.0TSI",,,No,,,,
11,"VW
AUDI
SEAT",05E903018F,,"AUDI A3 
AUDI Q3 
SEAT LEON
VW GOLF 8","1.5TSI
1.0TSI",,,No,,48.0,,
12,"AUDI
SEAT
SKODA","06Q903018
IBSG4U",,AUDI A3 (20-),1.5TSI 16V,VALEO,,No,,48.0,,
13,VW,04L903030A,,VW Golf VIII 19-,,SEG,,No,,48.0,,
14,"VW
AUDI
PORSCHE",05E903019F,,"Audi A3 20-
SEAT Leon 20-
Skoda Kodiaq 17-","1.4TSI 16V
1.5TSI 16V
2.0TSI 16V
2.0TDI 16V ",Vitesco (Continental),,Yes,MS-33406,48.0,,CAN-FD
15,Land Rover Jaguar,"IBSG4W038
L8B2-11A240-AC",,Defender (20-) ,"3.0TDI
3.0T-GDI",VALEO,,Yes,MS-33407,48.0,250.0,CAN
16,Land Rover Jaguar,"IBSG4W094
L8B2-11A240-AD",,Defender (20-),"3.0TDI
3.0T-GDI",VALEO,,Yes,MS-33407,48.0,250.0,CAN
17,Land Rover Jaguar,"IBSG4W095
L8A211A240AB",,"Discovery Sport (14-)
Range Rover Evoque (19-)","2.0TDI 16V
2.0T-GDI 16V",VALEO,1.0,Yes,MS-33407,48.0,250.0,CAN
18,Land Rover Jaguar,"IBSG4W050
L8A211A240AA",,"Discovery Sport (14-)
Range Rover Evoque (19-)","2.0TDI 16V
2.0T-GDI 16V",VALEO,,No,,48.0,250.0,
19,Land Rover Jaguar,"K8D2-11A240-AC
K8D2-11A240-AB
LR115527
LR137956",,"Range Rover Evoque
Discovery Sport"," 2.0 P200 MHEV 4x4
 2.0 D150 MHEV 4x4",,1.0,Yes,MS-33407,48.0,250.0,
20,Land Rover Jaguar,"IBSG4W146
L8B2-11A240-BA",,DEFENDER Station Wagon (L663) (19-),3.0TDI,VALEO,,No,,48.0,250.0,
21,Land Rover Jaguar,"IBSG4W079
IBSG4W099
IBSG4W118
IBSG4W146
L8B2-11A240-BB",,DEFENDER Station Wagon (L663) (19-),3.0TDI,VALEO,,No,,48.0,250.0,
22,Land Rover Jaguar,"KPLA-11A240-BA
IBSG4W078",,RANGE ROVER SPORT II L494 (20-),"3.0 D250 MHEV
3.0 D300 MHEV
3.0 D350 MHEV",,,Yes,MS-33407,48.0,,
23,Land Rover,"IST60S035
JPLA-11A213-AC",,"Land Rover Defender 20-
Range Rover 12-22
Range Rover Sport 13-22",,,,не читается,MS-33043,14.0,,
24,Land Rover,IBSG4W098,,Range Rover Velar 17-,,,,Yes,MS-33407,,,
25,FORD,L1TA-11238-BA,,"Puma 2gen, 
Fiesta 8gen, 
Focus 4gen",1.0 ecoboost,,1.0,Yes,MS-33403,48.0,,CAN
